svt_channel_id, amplitude, t0, tp, tp2
0,3765.67,21.39,59.27,8.11
1,3720.03,21.41,58.65,8.4
2,3703.31,21.24,58.95,8.39
3,3715.65,21.15,58.33,8.64
4,3781.45,21.24,58.72,8.35
5,3748.66,21.39,58.94,8.36
6,3789.47,21.39,58.48,8.32
7,3694.47,21.02,57.29,9.31
8,3725.08,21.55,57.49,8.69
9,3680.62,21.31,58.27,8.6
10,3687.79,21.19,58.27,8.58
11,3720.22,21.16,57.79,8.81
12,3794.29,21.35,58.48,8.4
13,3732.89,21.48,58.41,8.42
14,3797.64,21.37,58.2,8.39
15,3703.62,21.24,56.59,9.33
16,3736.88,21.81,57.06,8.67
17,3687.29,21.39,57.77,8.62
18,3706.6,21.3,58.02,8.61
19,3726.82,21.35,57.24,8.81
20,3789.33,21.43,57.82,8.47
21,3759.17,21.51,58.1,8.44
22,3792.78,21.52,57.89,8.39
23,3696.46,21.31,56.14,9.35
24,3739.34,21.83,56.85,8.68
25,3674.12,21.5,57.37,8.6
26,3689.08,21.48,57.55,8.56
27,3705.66,21.42,57.02,8.76
28,3779.54,21.56,57.42,8.43
29,3746.77,21.69,58.0,8.38
30,3785.34,21.53,57.71,8.36
31,3689.54,21.36,56.45,9.3
32,3736.45,22.03,56.4,8.61
33,3678.92,21.66,56.84,8.56
34,3698.15,21.55,57.29,8.53
35,3717.84,21.59,56.68,8.73
36,3794.08,21.75,57.12,8.39
37,3751.15,21.73,57.6,8.38
38,3784.56,21.59,57.3,8.35
39,3694.02,21.48,56.33,9.24
40,3745.67,22.09,55.97,8.65
41,3703.57,21.74,56.66,8.58
42,3707.02,21.67,56.5,8.57
43,3713.52,21.71,56.17,8.75
44,3763.73,21.82,56.68,8.42
45,3734.51,21.84,56.91,8.43
46,3777.03,21.65,56.72,8.38
47,3694.4,21.46,55.6,9.32
48,3744.09,22.12,55.85,8.66
49,3698.61,21.83,56.23,8.58
50,3684.33,21.79,55.66,8.59
51,3714.46,21.8,55.68,8.74
52,3802.41,21.88,56.57,8.42
53,3747.36,21.97,56.59,8.41
54,3785.84,21.75,56.61,8.42
55,3677.36,21.47,55.35,9.34
56,3746.12,22.19,55.59,8.65
57,3685.19,21.87,56.15,8.61
58,3710.16,21.88,56.22,8.56
59,3715.29,21.92,55.7,8.71
60,3796.85,22.07,56.56,8.36
61,3748.85,22.12,56.42,8.38
62,3802.48,21.9,56.41,8.36
63,3696.0,21.59,55.37,9.34
64,3743.61,21.92,55.36,8.74
65,3712.51,21.67,56.24,8.62
66,3732.41,21.78,56.17,8.58
67,3745.49,21.89,55.61,8.73
68,3811.14,22.0,56.01,8.39
69,3783.38,22.1,56.35,8.37
70,3813.07,21.96,55.98,8.38
71,3715.94,21.64,55.49,9.29
72,3760.51,22.02,55.67,8.73
73,3715.72,21.67,56.57,8.64
74,3721.38,21.72,56.44,8.6
75,3742.14,21.86,55.77,8.78
76,3804.26,21.97,56.28,8.41
77,3756.48,22.07,56.68,8.36
78,3821.32,22.0,56.45,8.36
79,3713.66,21.64,55.43,9.3
80,3752.1,22.08,55.67,8.71
81,3688.92,21.7,56.31,8.66
82,3717.33,21.66,56.38,8.63
83,3727.56,21.78,55.75,8.77
84,3820.21,21.98,56.18,8.4
85,3745.52,22.05,56.54,8.38
86,3794.35,21.93,56.02,8.4
87,3685.56,21.72,54.83,9.34
88,3761.08,22.17,55.48,8.7
89,3708.65,21.72,56.41,8.62
90,3720.17,21.61,56.25,8.64
91,3707.78,21.79,55.68,8.78
92,3798.89,21.9,56.26,8.41
93,3761.46,22.03,56.69,8.4
94,3803.98,21.98,56.24,8.35
95,3700.86,21.73,54.87,9.29
96,3808.01,22.14,55.69,8.68
97,3728.48,21.71,56.69,8.62
98,3753.27,21.63,56.85,8.6
99,3754.73,21.65,56.38,8.77
100,3818.55,21.85,56.58,8.39
101,3783.23,22.05,56.82,8.34
102,3823.64,21.92,56.51,8.34
103,3706.76,21.65,55.63,9.27
104,3798.72,22.22,56.04,8.62
105,3739.62,21.74,56.84,8.6
106,3739.94,21.56,56.94,8.6
107,3735.92,21.6,56.16,8.77
108,3835.18,21.85,56.95,8.38
109,3768.29,21.95,56.94,8.34
110,3821.05,21.88,56.73,8.32
111,3718.52,21.67,55.28,9.26
112,3776.66,22.13,55.95,8.64
113,3742.52,21.69,56.98,8.55
114,3738.04,21.63,57.01,8.54
115,3741.51,21.64,56.44,8.71
116,3813.01,21.79,57.4,8.34
117,3757.51,21.95,57.52,8.31
118,3799.44,21.92,56.86,8.27
119,3684.55,21.56,56.36,9.17
120,3795.11,22.15,56.46,8.55
121,3740.86,21.74,57.21,8.45
122,3732.43,21.6,57.52,8.45
123,3726.52,21.55,57.46,8.6
124,3809.82,21.77,58.09,8.22
125,3765.63,21.84,58.16,8.18
126,3802.03,21.61,57.96,8.19
127,3662.26,21.05,57.0,9.14
128,3588.03,22.09,54.9,8.77
129,3494.49,21.23,56.51,8.75
130,3497.76,21.15,56.5,8.75
131,3511.31,21.1,56.15,8.99
132,3570.22,21.24,56.78,8.65
133,3568.62,21.32,56.69,8.71
134,3611.63,21.37,56.14,8.66
135,3497.57,20.96,54.9,9.64
136,3548.03,21.64,55.12,8.97
137,3477.56,21.28,56.16,8.89
138,3476.11,21.1,56.04,8.89
139,3483.92,21.11,55.61,9.09
140,3534.78,21.31,56.43,8.73
141,3544.75,21.44,56.59,8.73
142,3557.13,21.34,56.22,8.73
143,3448.4,21.12,54.69,9.65
144,3545.12,21.84,55.24,8.95
145,3451.69,21.33,56.07,8.92
146,3473.85,21.17,56.2,8.91
147,3482.69,21.27,55.47,9.09
148,3539.3,21.4,56.35,8.73
149,3537.96,21.43,56.58,8.76
150,3570.11,21.43,55.91,8.72
151,3472.77,21.24,54.43,9.67
152,3514.8,21.89,54.91,8.99
153,3442.16,21.4,55.68,8.94
154,3451.56,21.41,55.56,8.92
155,3449.9,21.34,55.13,9.11
156,3526.39,21.45,55.78,8.77
157,3514.64,21.59,55.89,8.77
158,3556.86,21.48,56.03,8.71
159,3439.65,21.25,54.27,9.7
160,3532.01,22.03,54.59,8.98
161,3426.21,21.57,55.28,8.93
162,3446.59,21.45,55.31,8.94
163,3445.02,21.48,54.93,9.12
164,3498.65,21.65,55.56,8.77
165,3507.57,21.65,55.9,8.78
166,3537.29,21.49,55.71,8.72
167,3434.9,21.34,54.04,9.67
168,3527.46,22.07,54.42,8.98
169,3432.56,21.59,55.44,8.92
170,3452.27,21.52,55.25,8.92
171,3444.63,21.57,54.96,9.09
172,3506.51,21.7,55.4,8.75
173,3517.71,21.67,55.86,8.81
174,3544.68,21.55,55.46,8.79
175,3439.92,21.3,54.29,9.71
176,3525.4,22.06,54.51,8.99
177,3443.33,21.7,54.89,8.95
178,3466.52,21.6,54.83,8.95
179,3464.26,21.64,54.42,9.15
180,3533.43,21.77,54.84,8.78
181,3524.09,21.82,55.09,8.8
182,3567.08,21.63,54.78,8.78
183,3442.86,21.33,53.57,9.77
184,3541.53,22.17,54.0,9.02
185,3479.79,21.76,54.92,8.97
186,3467.99,21.71,54.62,8.94
187,3491.86,21.78,54.46,9.07
188,3544.37,21.89,55.09,8.76
189,3544.34,21.96,55.25,8.75
190,3578.05,21.74,55.16,8.75
191,3457.47,21.43,53.73,9.75
192,3570.29,21.93,54.41,9.08
193,3493.53,21.52,55.07,8.97
194,3503.08,21.56,55.0,8.97
195,3518.85,21.69,54.64,9.1
196,3577.56,21.82,55.1,8.79
197,3572.75,21.91,55.26,8.81
198,3616.25,21.83,54.71,8.76
199,3511.88,21.42,53.58,9.78
200,3589.39,22.0,54.67,9.06
201,3511.37,21.51,55.32,9.04
202,3525.23,21.52,55.19,8.99
203,3522.95,21.67,54.4,9.18
204,3588.21,21.79,55.54,8.81
205,3586.82,21.91,55.72,8.79
206,3640.99,21.79,55.27,8.77
207,3508.06,21.45,53.96,9.75
208,3607.06,22.02,54.95,9.06
209,3529.93,21.55,55.73,9.01
210,3539.94,21.46,55.51,9.02
211,3520.24,21.57,54.98,9.19
212,3589.47,21.75,55.48,8.81
213,3589.6,21.88,55.71,8.84
214,3640.48,21.78,55.27,8.81
215,3517.42,21.51,53.79,9.77
