svt_channel_id, amplitude, t0, tp, tp2
216,3619.18,22.08,54.61,9.07
217,3526.78,21.52,55.34,9.07
218,3537.57,21.39,55.4,9.06
219,3544.18,21.54,54.73,9.19
220,3598.75,21.71,55.51,8.83
221,3591.75,21.85,55.46,8.84
222,3631.62,21.81,55.07,8.82
223,3508.76,21.56,53.91,9.77
224,3639.28,22.11,54.69,9.07
225,3527.34,21.54,55.66,9.06
226,3545.98,21.46,55.68,9.06
227,3538.3,21.47,55.04,9.24
228,3586.79,21.71,55.82,8.85
229,3605.78,21.89,55.82,8.8
230,3658.09,21.74,55.66,8.78
231,3530.89,21.5,54.37,9.73
232,3637.73,22.12,55.04,9.04
233,3548.06,21.59,56.02,9.0
234,3546.06,21.41,55.96,9.02
235,3553.0,21.48,55.44,9.17
236,3606.28,21.7,55.98,8.84
237,3587.41,21.77,56.13,8.82
238,3617.62,21.75,55.86,8.76
239,3505.05,21.54,54.68,9.68
240,3621.39,22.08,55.38,9.02
241,3519.31,21.51,56.43,9.01
242,3549.7,21.48,56.17,8.98
243,3546.42,21.48,55.83,9.13
244,3598.01,21.61,56.52,8.79
245,3587.72,21.8,56.71,8.77
246,3616.22,21.75,56.21,8.73
247,3493.48,21.36,55.18,9.68
248,3626.44,22.0,56.0,8.98
249,3528.25,21.6,57.0,8.85
250,3550.46,21.41,57.07,8.87
251,3543.86,21.41,57.18,8.98
252,3596.3,21.66,57.44,8.59
253,3591.91,21.74,57.91,8.55
254,3623.38,21.51,57.77,8.55
255,3493.85,21.03,56.76,9.46
256,3570.4,22.04,55.06,8.38
257,3437.94,21.38,56.49,8.35
258,3444.41,21.36,55.92,8.37
259,3430.13,21.35,55.68,8.56
260,3493.86,21.48,56.38,8.21
261,3508.13,21.54,56.52,8.26
262,3557.97,21.58,55.61,8.23
263,3476.14,21.24,54.87,9.13
264,3552.24,21.82,55.23,8.53
265,3457.54,21.5,55.89,8.46
266,3481.02,21.43,55.6,8.42
267,3477.44,21.35,55.54,8.65
268,3524.03,21.56,56.02,8.26
269,3526.37,21.66,55.73,8.29
270,3581.89,21.61,55.66,8.25
271,3478.74,21.38,54.19,9.16
272,3570.43,22.02,54.53,8.54
273,3474.1,21.57,55.2,8.49
274,3486.13,21.47,55.29,8.47
275,3483.09,21.49,54.71,8.68
276,3541.24,21.67,55.31,8.3
277,3545.51,21.72,55.76,8.31
278,3587.65,21.65,55.43,8.27
279,3490.77,21.49,54.4,9.15
280,3575.7,22.07,54.29,8.57
281,3459.97,21.67,54.94,8.5
282,3482.55,21.66,54.76,8.49
283,3485.28,21.62,54.86,8.65
284,3524.6,21.74,55.51,8.29
285,3551.27,21.84,55.76,8.3
286,3594.0,21.74,55.29,8.27
287,3492.1,21.54,54.14,9.17
288,3615.79,22.19,54.57,8.53
289,3497.66,21.76,55.27,8.49
290,3521.01,21.72,55.09,8.47
291,3502.05,21.74,54.75,8.65
292,3562.73,21.89,55.49,8.27
293,3564.76,21.88,55.69,8.29
294,3599.0,21.77,55.42,8.26
295,3502.91,21.61,53.7,9.19
296,3598.19,22.24,54.23,8.55
297,3486.18,21.83,54.77,8.5
298,3514.47,21.78,54.27,8.52
299,3513.58,21.82,53.89,8.69
300,3564.53,21.95,54.78,8.31
301,3575.97,21.92,55.14,8.33
302,3627.69,21.84,54.82,8.29
303,3523.42,21.61,53.72,9.22
304,3607.81,22.25,53.76,8.57
305,3490.44,21.95,54.12,8.53
306,3529.79,21.92,54.24,8.48
307,3523.64,21.91,54.04,8.67
308,3587.37,22.01,54.76,8.3
309,3579.88,22.04,55.15,8.3
310,3615.92,21.9,54.99,8.29
311,3530.75,21.67,53.94,9.23
312,3622.5,22.37,53.83,8.55
313,3517.54,21.96,54.13,8.54
314,3542.13,21.95,54.11,8.5
315,3523.1,22.0,53.74,8.66
316,3568.46,22.1,54.51,8.29
317,3577.07,22.15,54.28,8.31
318,3631.72,22.01,54.29,8.3
319,3510.43,21.72,52.95,9.25
320,3611.86,22.18,54.0,8.58
321,3521.91,21.84,54.91,8.51
322,3526.77,21.87,54.62,8.49
323,3520.39,21.97,54.07,8.64
324,3588.11,22.12,54.87,8.29
325,3585.93,22.14,54.97,8.31
326,3630.63,22.09,54.74,8.28
327,3514.6,21.78,53.64,9.21
328,3627.18,22.21,54.02,8.71
329,3528.78,21.85,55.28,8.55
330,3536.39,21.86,54.8,8.63
331,3545.21,21.94,54.15,8.69
332,3610.04,22.11,54.95,8.32
333,3594.62,22.15,54.65,8.36
334,3648.59,22.08,54.35,8.35
335,3538.53,21.83,53.58,9.23
336,3648.25,22.29,54.02,8.62
337,3550.05,21.89,54.65,8.56
338,3564.28,21.8,54.42,8.57
339,3542.51,21.89,54.19,8.71
340,3607.43,22.08,54.66,8.33
341,3613.98,22.13,54.52,8.37
342,3659.72,22.07,54.5,8.35
343,3556.88,21.84,53.33,9.21
344,3651.34,22.35,54.02,8.6
345,3555.68,21.89,54.91,8.57
346,3589.09,21.8,55.02,8.53
347,3567.18,21.91,54.19,8.69
348,3627.57,22.1,55.22,8.26
349,3624.29,22.11,55.13,8.31
350,3671.06,22.1,54.82,8.26
351,3557.46,21.83,53.86,9.18
352,3689.87,22.33,54.53,8.56
353,3567.43,21.87,55.37,8.53
354,3588.91,21.84,55.24,8.51
355,3568.26,21.86,54.54,8.67
356,3629.23,22.0,55.31,8.27
357,3632.63,22.11,54.8,8.31
358,3675.33,22.09,54.76,8.25
359,3574.67,21.83,53.83,9.16
360,3687.66,22.4,54.3,8.53
361,3579.19,21.89,54.77,8.54
362,3590.95,21.78,54.67,8.56
363,3574.0,21.88,54.48,8.66
364,3635.49,22.03,54.85,8.3
365,3634.79,22.07,55.32,8.31
366,3686.03,22.03,55.19,8.25
367,3559.47,21.83,54.0,9.16
368,3691.7,22.35,54.49,8.51
369,3578.86,21.88,55.13,8.51
370,3613.47,21.83,55.67,8.43
371,3592.71,21.85,55.16,8.61
372,3648.98,21.97,56.05,8.23
373,3628.38,22.05,55.93,8.23
374,3697.04,22.1,55.65,8.16
375,3578.68,21.77,54.94,9.1
376,3702.03,22.36,55.04,8.45
377,3603.56,21.92,55.69,8.43
378,3626.1,21.8,55.96,8.38
379,3600.75,21.81,55.87,8.5
380,3652.37,21.97,56.45,8.12
381,3650.94,22.03,56.39,8.12
382,3699.62,21.91,56.22,8.1
383,3557.86,21.41,55.37,9.01
384,3449.39,22.21,54.72,8.62
385,3341.04,21.4,56.44,8.57
386,3348.18,21.35,56.71,8.58
387,3349.91,21.32,55.84,8.8
388,3394.56,21.43,57.14,8.43
389,3384.13,21.51,57.06,8.47
390,3377.87,21.55,56.49,8.41
391,3321.68,21.16,55.18,9.41
392,3411.0,21.82,55.71,8.71
393,3291.05,21.45,56.45,8.62
394,3320.69,21.4,56.3,8.61
395,3340.94,21.29,56.0,8.85
396,3357.58,21.51,56.62,8.48
397,3356.12,21.6,56.8,8.5
398,3370.38,21.47,56.61,8.46
399,3307.95,21.27,54.86,9.45
400,3399.7,22.05,55.11,8.72
401,3298.83,21.53,56.16,8.65
402,3331.7,21.43,56.19,8.65
403,3310.12,21.52,55.12,8.89
404,3347.49,21.57,56.2,8.54
405,3354.9,21.63,56.3,8.56
406,3355.7,21.62,55.69,8.49
407,3284.43,21.42,54.15,9.49
408,3376.75,22.04,54.39,8.78
409,3293.07,21.62,55.06,8.7
410,3303.5,21.56,55.12,8.71
411,3315.24,21.5,54.79,8.93
412,3349.09,21.69,55.77,8.54
413,3347.08,21.77,56.02,8.57
414,3330.58,21.62,55.78,8.54
415,3302.06,21.4,54.05,9.51
416,3391.18,22.2,54.47,8.78
417,3275.31,21.69,55.16,8.74
418,3295.93,21.62,55.73,8.68
419,3306.48,21.66,55.02,8.87
420,3335.94,21.83,55.77,8.53
421,3320.18,21.79,55.94,8.57
422,3347.63,21.65,55.93,8.54
423,3282.03,21.5,54.06,9.52
424,3378.77,22.23,54.25,8.79
425,3279.86,21.79,55.07,8.74
426,3298.39,21.74,55.06,8.74
427,3304.08,21.75,54.39,8.94
428,3332.11,21.88,55.25,8.57
429,3339.82,21.9,55.37,8.61
430,3346.33,21.76,55.38,8.56
431,3289.27,21.54,53.67,9.57
432,3383.54,22.25,54.17,8.82
433,3297.49,21.86,54.8,8.74
434,3309.77,21.82,54.7,8.76
435,3309.06,21.89,54.14,8.92
436,3354.82,22.04,55.18,8.55
437,3342.17,21.99,55.44,8.59
438,3353.26,21.81,55.36,8.55
439,3301.99,21.53,53.78,9.56
440,3402.19,22.38,54.17,8.8
441,3322.26,21.95,54.91,8.74
442,3325.35,21.91,54.57,8.77
443,3352.18,22.01,54.16,8.91
444,3358.31,22.12,54.76,8.56
445,3371.61,22.13,55.06,8.6
446,3360.81,21.96,54.84,8.58
447,3296.71,21.61,53.19,9.61
448,3456.43,22.21,54.51,8.83
449,3345.37,21.76,55.45,8.75
450,3360.72,21.79,55.24,8.74
451,3356.07,21.89,54.89,8.89
452,3393.26,22.06,55.22,8.57
453,3404.98,22.12,55.37,8.59
454,3407.06,21.96,55.4,8.55
455,3344.51,21.64,54.13,9.55
456,3461.22,22.21,54.88,8.83
457,3369.39,21.78,56.13,8.74
458,3383.02,21.72,55.67,8.78
459,3392.58,21.9,54.9,8.93
460,3425.31,22.04,55.72,8.6
461,3403.39,22.12,55.88,8.6
462,3409.62,22.02,55.51,8.54
463,3353.3,21.72,54.16,9.53
464,3469.29,22.26,54.88,8.84
465,3372.45,21.72,55.82,8.81
466,3387.43,21.71,55.97,8.75
467,3392.58,21.83,55.0,8.96
468,3422.01,21.98,55.96,8.58
469,3424.85,22.07,56.24,8.55
470,3432.83,22.0,56.5,8.18
471,3357.03,21.71,54.24,9.48
472,3489.74,22.36,55.03,8.78
473,3383.75,21.72,56.11,8.79
474,3397.83,21.67,55.86,8.78
475,3407.12,21.84,55.4,8.95
476,3426.88,21.99,56.13,8.58
477,3433.76,22.03,56.48,8.59
478,3436.28,21.99,55.81,8.53
479,3373.43,21.73,54.74,9.49
480,3525.81,22.33,55.78,8.79
481,3405.74,21.74,56.49,8.76
482,3408.51,21.67,56.68,8.76
483,3442.7,21.71,56.12,8.93
484,3457.43,21.89,56.77,8.56
485,3451.84,22.04,56.67,8.57
486,3430.18,21.95,56.75,8.51
487,3380.02,21.67,55.09,9.5
488,3512.95,22.27,55.68,8.79
489,3411.7,21.77,56.71,8.77
490,3427.21,21.62,56.81,8.77
491,3420.64,21.7,56.0,8.96
492,3454.94,21.9,56.7,8.57
493,3437.33,21.96,56.83,8.58
494,3452.09,21.86,56.47,8.54
495,3357.79,21.66,55.27,9.49
496,3520.37,22.21,56.14,8.77
497,3409.76,21.73,57.04,8.73
498,3410.66,21.68,57.12,8.7
499,3417.64,21.66,56.58,8.91
500,3431.69,21.82,57.73,8.51
501,3425.94,21.92,57.84,8.49
502,3428.17,21.88,57.47,8.46
503,3358.85,21.5,56.0,9.45
504,3524.98,22.27,56.92,8.69
505,3412.17,21.75,57.56,8.66
506,3413.2,21.6,57.99,8.61
507,3410.68,21.57,57.74,8.76
508,3449.92,21.81,58.53,8.37
509,3442.45,21.87,58.85,8.35
510,3452.81,21.57,59.24,8.28
511,3388.51,21.62,57.55,8.9
512,3672.8,21.32,58.73,8.01
513,3653.39,21.37,57.76,8.34
514,3655.24,21.24,58.07,8.35
515,3658.8,21.15,57.75,8.56
516,3736.6,21.28,58.04,8.23
517,3699.74,21.35,58.04,8.27
518,3730.57,21.37,57.62,8.22
519,3615.93,21.01,56.76,9.16
520,3656.99,21.51,56.91,8.58
521,3628.55,21.29,57.87,8.49
522,3649.51,21.19,57.56,8.49
523,3675.35,21.14,57.55,8.67
524,3783.58,21.39,57.52,8.29
525,3707.99,21.49,57.61,8.3
526,3746.9,21.36,57.28,8.29
527,3637.03,21.17,56.71,9.18
528,3675.99,21.75,56.5,8.57
529,3649.97,21.4,57.26,8.51
530,3678.3,21.28,57.14,8.51
531,3690.48,21.34,56.53,8.7
532,3774.62,21.44,57.34,8.31
533,3703.95,21.5,57.37,8.32
534,3767.49,21.48,57.28,8.29
535,3641.97,21.31,55.89,9.22
536,3672.86,21.79,56.13,8.63
537,3649.0,21.53,56.75,8.55
538,3667.77,21.45,56.38,8.54
539,3674.63,21.36,55.81,8.78
540,3764.53,21.56,56.6,8.38
541,3712.2,21.63,56.83,8.35
542,3767.75,21.53,56.73,8.33
543,3644.23,21.33,55.84,9.18
544,3750.68,21.89,55.76,8.61
545,3672.89,21.62,56.25,8.58
546,3709.21,21.51,56.59,8.54
547,3727.84,21.5,55.88,8.74
548,3804.5,21.69,56.39,8.37
549,3758.86,21.72,56.81,8.35
550,3802.68,21.56,56.93,8.34
551,3687.29,21.4,55.55,9.26
552,3728.12,21.97,55.57,8.62
553,3722.22,21.66,56.55,8.58
554,3729.36,21.65,56.41,8.56
555,3731.82,21.66,56.26,8.7
556,3823.98,21.77,56.52,8.37
557,3763.48,21.75,56.76,8.38
558,3819.62,21.63,56.51,8.35
559,3698.9,21.42,55.6,9.25
560,3731.96,22.0,55.54,8.64
561,3707.84,21.8,56.11,8.58
562,3735.97,21.73,55.92,8.57
563,3745.45,21.74,55.28,8.76
564,3818.77,21.85,55.65,8.38
565,3763.3,21.89,55.8,8.39
566,3812.46,21.72,55.98,8.36
567,3675.05,21.43,55.18,9.3
568,3732.93,22.0,55.26,8.64
569,3705.36,21.85,55.64,8.58
570,3715.91,21.82,55.46,8.57
571,3746.29,21.86,55.31,8.72
572,3819.59,21.96,55.79,8.33
573,3763.94,22.0,55.86,8.35
574,3794.96,21.78,55.83,8.33
575,3674.07,21.5,54.65,9.28
576,3722.1,21.88,55.22,8.68
577,3693.17,21.66,56.05,8.59
578,3703.19,21.7,55.63,8.57
579,3710.25,21.8,55.27,8.73
580,3794.18,21.97,55.69,8.36
581,3752.04,22.06,55.45,8.37
582,3780.49,21.89,55.63,8.35
583,3655.05,21.52,54.6,9.31
584,3722.1,21.95,55.29,8.69
585,3663.06,21.64,55.73,8.64
586,3711.7,21.64,55.82,8.62
587,3717.49,21.77,54.93,8.79
588,3813.47,21.9,55.81,8.39
589,3760.64,22.02,55.75,8.37
590,3797.86,21.92,55.66,8.33
591,3675.4,21.59,55.0,9.25
592,3718.72,21.93,55.19,8.67
593,3686.14,21.65,56.04,8.65
594,3723.04,21.6,56.08,8.63
595,3744.15,21.71,55.34,8.8
596,3815.59,21.93,55.78,8.38
597,3757.46,22.05,55.63,8.39
598,3799.99,21.92,55.43,8.36
599,3675.3,21.66,54.75,9.28
600,3754.06,22.06,54.77,8.71
601,3703.55,21.62,55.72,8.69
602,3730.67,21.6,55.67,8.68
603,3731.48,21.76,55.07,8.79
604,3811.46,21.88,55.84,8.41
605,3752.87,21.98,55.46,8.43
606,3799.19,21.93,55.11,8.38
607,3674.88,21.64,54.56,9.3
608,3769.89,22.04,54.77,8.71
609,3710.95,21.7,55.67,8.65
610,3751.91,21.64,55.95,8.65
611,3749.0,21.68,55.43,8.8
612,3842.83,21.86,55.74,8.41
613,3760.68,22.0,55.63,8.38
614,3830.31,21.89,55.76,8.35
615,3693.04,21.62,54.84,9.27
616,3782.94,22.08,54.99,8.67
617,3703.09,21.71,55.93,8.63
618,3740.26,21.57,56.1,8.63
619,3748.47,21.63,55.44,8.8
620,3829.64,21.86,55.7,8.38
621,3771.75,21.92,55.94,8.37
622,3803.27,21.8,55.71,8.35
623,3680.1,21.64,54.72,9.24
624,3758.69,22.05,55.18,8.64
625,3718.83,21.68,55.74,8.64
626,3749.1,21.62,56.0,8.6
627,3752.68,21.62,55.6,8.76
628,3838.1,21.77,56.08,8.35
629,3755.49,21.88,56.19,8.35
630,3814.45,21.84,56.05,8.29
631,3688.55,21.51,55.48,9.19
632,3791.73,21.96,55.55,8.6
633,3739.27,21.74,56.2,8.55
634,3770.0,21.56,56.63,8.54
635,3773.08,21.49,56.36,8.71
636,3859.55,21.73,57.03,8.27
637,3785.99,21.84,57.08,8.23
638,3818.75,21.61,57.09,8.19
639,3676.11,21.06,56.56,9.13
640,3539.88,22.01,55.06,8.43
641,3424.28,21.33,56.63,8.38
642,3449.95,21.31,56.8,8.37
643,3433.48,21.24,56.7,8.56
644,3517.79,21.37,56.79,8.24
645,3510.13,21.47,56.73,8.26
646,3534.82,21.45,56.59,8.22
647,3418.42,21.12,55.75,9.12
648,3541.89,21.68,55.69,8.55
649,3458.77,21.41,56.45,8.46
650,3470.2,21.3,56.35,8.47
651,3467.81,21.21,55.95,8.69
652,3541.19,21.47,56.33,8.31
653,3529.63,21.55,56.44,8.34
654,3555.11,21.44,56.36,8.29
655,3463.21,21.27,55.15,9.19
656,3542.89,21.86,55.55,8.56
657,3458.61,21.49,55.93,8.53
658,3489.44,21.38,56.16,8.52
659,3473.26,21.41,55.53,8.69
660,3555.92,21.54,56.27,8.34
661,3524.66,21.6,56.59,8.34
662,3574.35,21.54,55.97,8.34
663,3440.28,21.35,55.03,9.22
664,3549.75,21.86,54.82,8.61
665,3456.23,21.54,55.61,8.56
666,3506.25,21.52,55.53,8.54
667,3478.83,21.46,55.25,8.71
668,3567.63,21.56,55.8,8.4
669,3536.58,21.69,55.88,8.36
670,3584.3,21.59,55.39,8.37
671,3454.91,21.35,54.74,9.27
672,3617.15,21.95,54.73,8.59
673,3519.14,21.66,55.26,8.59
674,3534.6,21.61,55.48,8.56
675,3518.27,21.56,55.12,8.73
676,3594.93,21.69,55.64,8.39
677,3578.37,21.75,55.6,8.37
678,3624.85,21.59,55.74,8.37
679,3495.4,21.38,54.65,9.26
680,3597.28,22.02,54.75,8.61
681,3513.63,21.7,55.56,8.58
682,3538.34,21.67,55.33,8.54
683,3534.67,21.67,55.15,8.73
684,3615.57,21.78,55.66,8.39
685,3582.87,21.82,55.64,8.37
686,3632.46,21.69,55.62,8.37
687,3506.76,21.44,54.72,9.28
688,3621.94,22.04,54.7,8.65
689,3534.43,21.77,55.04,8.6
690,3546.3,21.75,54.87,8.6
691,3541.63,21.77,54.56,8.74
692,3609.41,21.85,55.15,8.38
693,3580.43,21.9,55.26,8.39
694,3632.05,21.74,55.37,8.37
695,3505.17,21.46,54.51,9.32
696,3636.92,22.06,54.32,8.7
697,3542.75,21.85,54.77,8.63
698,3580.54,21.79,54.57,8.6
699,3543.03,21.83,54.38,8.77
700,3616.53,21.96,55.06,8.4
701,3598.77,22.0,54.75,8.44
702,3627.14,21.82,55.14,8.38
703,3503.82,21.53,53.76,9.36
704,3642.93,21.95,54.44,8.7
705,3559.51,21.67,55.13,8.63
706,3586.04,21.72,55.1,8.6
707,3557.56,21.78,54.7,8.77
708,3627.5,21.96,55.05,8.42
709,3626.56,22.01,54.6,8.44
710,3661.36,21.9,54.95,8.39
711,3527.66,21.56,54.11,9.33
712,3642.91,22.02,54.67,8.7
713,3568.16,21.68,55.24,8.7
714,3573.71,21.67,55.12,8.67
715,3558.79,21.75,54.68,8.81
716,3624.53,21.9,55.25,8.44
717,3618.51,21.98,55.25,8.43
718,3640.9,21.95,55.15,8.38
719,3532.63,21.59,54.49,9.33
720,3654.32,22.07,54.57,8.71
721,3560.87,21.71,55.68,8.68
722,3579.59,21.64,55.7,8.66
723,3561.17,21.73,54.97,8.78
724,3650.08,21.91,55.28,8.43
725,3625.2,22.01,55.48,8.42
726,3645.9,21.9,55.22,8.4
727,3521.75,21.62,54.26,9.33
728,3656.91,22.1,54.55,8.68
729,3551.3,21.67,55.35,8.68
730,3590.49,21.6,55.27,8.68
731,3563.42,21.72,54.78,8.79
732,3629.94,21.84,55.2,8.46
733,3618.09,21.95,55.2,8.45
